Farm_ID,Sector,Species,State,Farm_Age_Years,Farm_Area_Acres,Water_Temperature_C,Water_pH,Dissolved_Oxygen_mg_L,Ammonia_mg_L,Stocking_Density_Animals_Per_Acre,Feed_Quantity_kg_Per_Day,Feed_Quality_Score,Rainfall_mm,Humidity_Percent,Body_Condition_Score,Disease_Type,Disease_Onset,Mortality_Rate_Percent,Feed_Conversion_Ratio,Daily_Feed_Cost,Productivity_Score,Water_Quality_Score,Disease_Risk_Score,Disease_Risk_Level
F0058,Aquaculture,Shrimp,Telangana,4,24.1,29.2,8.28,5.4,0.18,78.0,156.3,84.2,41.5,74.6,2.5,Early Mortality Syndrome,1,1.2,1.69,228.88,100.0,89.4,79.0,High
F0059,Aquaculture,Pangasius,West Bengal,4,16.0,25.5,8.11,4.29,0.26,103.1,193.9,69.9,119.7,89.2,4.3,No Disease,0,2.1,1.59,324.52,100.0,86.3,91.2,High
F0060,Aquaculture,Tilapia,Telangana,4,22.0,29.1,7.97,5.36,0.97,62.3,34.5,60.1,40.9,69.7,3.0,White Spot Disease,1,15.9,1.81,42.22,86.1,79.3,95.5,High
F0061,Aquaculture,Rohu,Tamil Nadu,2,4.7,28.9,8.5,3.21,0.49,110.2,111.4,78.2,113.0,84.0,3.3,No Disease,0,2.9,1.36,140.14,100.0,77.8,80.6,High
F0062,Aquaculture,Rohu,West Bengal,2,13.1,28.1,7.8,6.29,0.32,58.6,218.3,94.7,87.7,81.1,3.9,No Disease,0,0.4,1.4,282.49,100.0,99.6,48.8,Medium
F0063,Aquaculture,Catla,Andhra Pradesh,7,6.7,28.6,7.32,5.93,0.19,40.0,24.1,80.9,65.7,71.6,3.4,No Disease,0,4.5,1.43,36.04,100.0,91.8,50.4,Medium
F0064,Aquaculture,Rohu,Tamil Nadu,7,13.6,26.1,7.52,6.14,0.58,128.6,72.6,65.0,39.7,62.5,3.6,No Disease,0,1.4,1.69,110.59,100.0,84.5,87.2,High
F0065,Aquaculture,Pangasius,Karnataka,1,3.6,29.0,7.75,4.63,0.2,98.6,201.8,80.0,122.6,63.2,3.5,No Disease,0,0.2,1.54,212.23,100.0,95.4,64.6,Medium
F0066,Livestock,Sheep,Telangana,5,4.2,,,,,53.5,31.0,66.4,26.9,51.7,4.1,No Disease,0,2.5,2.08,39.51,100.0,,67.0,High
F0067,Livestock,Cattle,Andhra Pradesh,7,22.3,,,,,54.4,56.7,89.8,13.8,59.8,4.3,No Disease,0,0.0,1.98,74.57,100.0,,43.8,Medium
F0068,Aquaculture,Pangasius,Tamil Nadu,7,19.8,29.1,7.46,7.21,0.27,45.8,39.5,85.8,13.0,58.1,2.0,No Disease,0,0.0,1.28,50.55,100.0,91.5,45.6,Medium
F0069,Livestock,Goat,Telangana,3,3.9,,,,,18.1,7.7,83.4,137.6,59.0,1.9,No Disease,0,2.1,2.33,9.76,100.0,,41.1,Medium
F0070,Livestock,Sheep,Karnataka,2,4.1,,,,,63.1,39.3,77.8,7.6,96.3,4.0,No Disease,1,10.9,2.9,59.88,100.0,,99.0,High
F0071,Livestock,Cattle,Tamil Nadu,2,20.6,,,,,74.6,15.0,71.0,77.8,68.3,3.5,Mastitis,1,7.1,2.41,21.78,100.0,,87.6,High
F0072,Livestock,Cattle,Andhra Pradesh,6,13.9,,,,,24.4,33.6,82.4,39.8,96.9,3.8,No Disease,0,1.4,1.91,51.31,100.0,,65.2,High
F0073,Aquaculture,Pangasius,Andhra Pradesh,5,4.8,27.8,7.76,6.01,0.34,69.9,136.3,91.2,131.9,78.3,3.5,No Disease,0,4.7,1.56,231.53,100.0,98.7,52.9,Medium
F0074,Livestock,Buffalo,Telangana,1,10.0,,,,,46.9,49.1,86.9,158.7,59.7,2.3,No Disease,0,2.3,2.15,70.24,100.0,,44.8,Medium
F0075,Aquaculture,Shrimp,Tamil Nadu,2,10.4,27.7,7.81,4.42,0.36,174.1,104.6,69.1,26.8,68.1,4.2,No Disease,0,4.6,1.38,178.76,100.0,98.7,94.4,High
F0076,Livestock,Poultry,Karnataka,4,2.3,,,,,5.1,12.3,56.3,30.0,54.6,2.8,No Disease,0,1.0,2.08,14.24,100.0,,65.0,Medium
F0077,Livestock,Buffalo,West Bengal,4,3.9,,,,,50.0,36.9,56.0,58.0,78.7,2.2,No Disease,0,2.1,1.88,50.34,100.0,,83.5,High
F0078,Livestock,Cattle,Karnataka,3,18.8,,,,,37.6,7.1,64.5,107.7,84.0,4.5,No Disease,0,2.7,2.15,7.69,100.0,,76.1,High
F0079,Aquaculture,Tilapia,West Bengal,4,20.3,24.9,7.97,3.79,0.13,43.7,25.6,90.8,49.2,77.3,2.7,No Disease,0,3.5,1.41,42.84,100.0,83.5,46.0,Medium
F0080,Livestock,Buffalo,Andhra Pradesh,4,1.3,,,,,75.3,42.9,82.1,9.0,92.9,4.3,No Disease,0,1.2,1.75,70.61,100.0,,75.0,High
F0081,Aquaculture,Catla,Telangana,3,24.1,25.6,7.32,4.13,0.09,158.3,81.7,61.7,153.6,57.0,3.5,No Disease,0,3.6,1.32,87.35,100.0,84.6,97.9,High
F0082,Livestock,Poultry,Karnataka,1,5.4,,,,,8.9,26.3,66.2,131.5,97.0,2.5,No Disease,0,0.2,2.6,44.19,100.0,,77.6,High
F0083,Aquaculture,Shrimp,West Bengal,5,23.7,26.9,7.53,5.83,0.2,118.6,140.4,59.9,154.8,86.1,2.2,No Disease,0,1.9,1.3,194.84,100.0,92.4,100.0,High
F0084,Livestock,Cattle,Karnataka,6,19.1,,,,,55.2,28.8,72.7,117.2,73.9,2.0,No Disease,0,0.9,1.8,32.12,100.0,,64.2,Medium
F0085,Aquaculture,Pangasius,West Bengal,3,5.7,25.6,8.03,6.78,0.31,118.1,147.1,59.0,61.9,67.1,3.0,No Disease,0,0.0,1.26,158.09,100.0,87.6,90.5,High
F0086,Aquaculture,Catla,Telangana,3,24.6,23.4,7.9,5.56,0.53,128.8,203.5,72.0,164.7,77.9,2.4,No Disease,0,3.3,1.37,351.02,100.0,77.1,86.5,High
F0087,Livestock,Cattle,West Bengal,7,3.9,,,,,49.9,3.9,70.6,131.9,88.5,2.6,No Disease,0,0.6,2.29,6.6,100.0,,76.7,High
F0088,Aquaculture,Pangasius,Telangana,6,20.9,29.0,7.41,4.7,0.34,93.1,243.9,69.5,53.4,94.5,2.3,No Disease,0,2.4,1.58,305.18,100.0,91.3,93.4,High
F0089,Livestock,Sheep,Andhra Pradesh,5,20.3,,,,,44.4,16.2,59.9,15.7,83.1,2.9,No Disease,0,0.4,2.5,22.75,100.0,,81.7,High
F0090,Livestock,Goat,Karnataka,2,13.3,,,,,52.6,9.3,84.1,58.5,81.4,2.0,No Disease,0,1.0,2.19,13.49,100.0,,58.2,Medium
F0091,Livestock,Poultry,Tamil Nadu,3,10.4,,,,,7.5,19.6,83.1,168.9,91.2,3.9,No Disease,0,1.9,1.94,28.8,100.0,,55.7,Medium
F0092,Livestock,Sheep,Tamil Nadu,2,17.8,,,,,33.6,9.5,72.7,144.4,70.4,1.8,No Disease,1,7.7,2.28,15.97,99.1,,76.0,High
F0093,Livestock,Sheep,Andhra Pradesh,1,12.3,,,,,6.4,57.8,86.2,54.9,89.0,2.6,No Disease,0,1.9,2.46,61.71,100.0,,50.6,Medium
F0094,Livestock,Cattle,Karnataka,3,7.4,,,,,66.8,6.3,64.7,131.4,76.7,2.0,No Disease,0,2.1,2.56,10.0,100.0,,77.4,High
F0095,Livestock,Buffalo,Karnataka,5,5.1,,,,,48.0,40.2,65.8,39.6,70.9,3.8,No Disease,1,3.1,2.42,49.79,100.0,,86.9,High
F0096,Livestock,Poultry,Andhra Pradesh,7,10.8,,,,,52.3,36.3,85.2,42.7,72.2,2.1,No Disease,0,1.6,2.14,55.19,100.0,,49.6,Medium
F0097,Livestock,Cattle,Andhra Pradesh,5,13.9,,,,,5.2,4.3,81.0,163.3,57.7,3.1,No Disease,0,0.0,1.64,5.73,100.0,,40.3,Medium
F0098,Livestock,Cattle,Andhra Pradesh,1,3.7,,,,,5.6,14.7,56.6,19.4,63.0,4.0,No Disease,0,1.3,2.17,15.6,100.0,,64.8,Medium
F0099,Livestock,Goat,West Bengal,4,17.2,,,,,71.0,35.3,56.3,121.6,47.4,3.0,Respiratory Infection,1,8.2,2.54,51.88,98.0,,100.0,High
F0100,Aquaculture,Shrimp,West Bengal,1,16.5,26.8,7.87,6.81,0.41,56.0,108.3,74.6,66.4,60.2,3.0,No Disease,0,1.7,1.33,189.89,100.0,94.1,59.4,Medium
F0101,Aquaculture,Rohu,Andhra Pradesh,7,14.9,27.8,7.81,5.91,0.28,125.8,221.0,86.1,21.7,93.8,2.2,No Disease,0,2.0,1.41,273.16,100.0,99.1,84.4,High
F0102,Livestock,Buffalo,Telangana,6,11.7,,,,,73.3,48.9,64.3,84.0,88.3,2.0,No Disease,1,4.3,2.41,67.47,100.0,,100.0,High
F0103,Livestock,Buffalo,Karnataka,5,16.5,,,,,33.8,28.1,79.9,136.7,50.2,4.2,No Disease,0,2.1,1.4,38.16,100.0,,48.5,Medium
F0104,Livestock,Poultry,Telangana,4,14.9,,,,,71.8,22.1,61.6,4.6,79.2,3.5,Respiratory Infection,1,9.8,2.15,31.47,97.2,,100.0,High
F0105,Livestock,Cattle,West Bengal,7,12.7,,,,,12.9,11.7,96.8,41.1,96.8,3.2,Mastitis,1,1.2,2.09,14.27,100.0,,67.9,High
F0106,Livestock,Buffalo,Karnataka,5,4.7,,,,,72.5,8.7,96.1,56.5,92.1,3.4,No Disease,0,0.0,1.63,10.77,100.0,,59.7,Medium
F0107,Livestock,Cattle,Karnataka,3,5.0,,,,,44.9,11.8,65.6,150.9,63.9,4.0,Respiratory Infection,1,3.2,2.64,18.66,100.0,,85.6,High
F0108,Livestock,Poultry,Karnataka,5,12.4,,,,,38.3,38.3,76.0,72.3,97.7,4.2,No Disease,0,0.3,2.12,48.89,100.0,,75.7,High
F0109,Livestock,Sheep,Telangana,4,24.3,,,,,73.0,9.7,80.5,107.8,63.7,3.0,No Disease,0,1.7,1.9,12.87,100.0,,57.8,Medium
F0110,Aquaculture,Rohu,Telangana,4,20.9,28.9,7.79,6.33,0.24,122.4,106.3,67.3,36.6,87.8,3.0,No Disease,0,3.6,1.49,189.7,100.0,96.3,97.5,High
F0111,Livestock,Sheep,Tamil Nadu,3,17.6,,,,,65.5,29.6,97.8,10.7,45.2,3.5,No Disease,0,2.4,2.2,48.85,100.0,,38.6,Medium
F0112,Aquaculture,Tilapia,West Bengal,5,19.1,31.6,8.45,4.67,0.44,142.6,141.6,89.1,178.3,63.6,4.5,White Spot Disease,1,9.4,1.74,213.3,99.7,76.8,86.6,High
F0113,Livestock,Poultry,Telangana,5,23.9,,,,,66.6,48.9,93.0,126.0,50.5,2.9,No Disease,0,3.6,2.2,68.65,100.0,,43.6,Medium
F0114,Livestock,Goat,Tamil Nadu,6,8.7,,,,,70.2,41.5,59.9,151.6,57.8,3.1,No Disease,0,1.9,1.92,53.16,100.0,,77.6,High
F0115,Aquaculture,Pangasius,West Bengal,7,14.3,28.4,8.4,4.79,0.12,146.3,63.2,86.0,156.0,74.5,4.1,No Disease,0,0.0,1.77,75.06,100.0,91.2,74.2,High
F0116,Livestock,Sheep,Andhra Pradesh,7,15.0,,,,,15.7,47.0,66.7,89.4,60.1,2.2,Parasitic Infection,1,4.6,2.45,56.09,100.0,,77.2,High
F0117,Aquaculture,Shrimp,West Bengal,1,23.3,29.2,7.71,5.03,0.27,119.1,219.3,79.6,163.3,95.5,3.1,No Disease,0,0.9,1.51,226.72,100.0,94.1,90.6,High
F0118,Livestock,Cattle,Karnataka,5,2.2,,,,,57.8,2.3,62.2,128.3,80.3,4.4,No Disease,0,0.9,1.92,3.56,100.0,,80.5,High
F0119,Livestock,Poultry,Telangana,1,16.8,,,,,42.4,24.3,92.2,85.7,50.9,3.5,No Disease,1,7.2,2.12,31.37,100.0,,58.4,Medium
F0120,Aquaculture,Rohu,Tamil Nadu,3,17.0,30.1,8.45,5.85,0.38,45.0,110.8,95.0,22.6,86.7,4.4,Parasitic Infection,1,21.1,1.62,118.36,80.9,83.8,69.6,High
F0121,Livestock,Cattle,Andhra Pradesh,4,15.3,,,,,13.4,31.9,66.5,150.4,45.8,2.8,Mastitis,1,5.8,1.79,40.93,100.0,,76.8,High
F0122,Aquaculture,Pangasius,West Bengal,1,19.6,29.3,7.78,7.22,0.28,83.7,198.0,88.2,93.8,97.0,2.3,Parasitic Infection,1,8.9,1.83,240.07,100.0,94.6,94.3,High
F0123,Livestock,Buffalo,West Bengal,6,4.7,,,,,21.7,39.2,79.5,102.3,80.1,3.3,No Disease,0,1.9,2.29,47.19,100.0,,54.0,Medium
F0124,Aquaculture,Rohu,Telangana,4,15.9,28.8,7.87,4.58,0.94,48.4,174.5,80.0,178.2,65.3,3.3,No Disease,0,4.2,1.51,203.12,100.0,82.5,52.1,Medium
F0125,Aquaculture,Shrimp,Telangana,2,4.5,31.2,8.08,4.09,0.29,153.6,166.3,71.7,121.3,66.2,2.9,No Disease,0,3.5,1.44,260.46,100.0,83.8,86.7,High
F0126,Livestock,Poultry,Telangana,6,11.4,,,,,42.3,15.4,56.9,74.8,61.0,3.9,No Disease,0,2.2,2.05,23.6,100.0,,73.7,High
F0127,Livestock,Goat,Andhra Pradesh,2,15.2,,,,,17.4,27.8,64.0,9.0,89.7,4.4,No Disease,0,1.5,2.08,32.85,100.0,,76.1,High
F0128,Aquaculture,Tilapia,West Bengal,4,23.2,29.1,7.81,4.56,0.33,106.8,185.2,65.6,115.3,83.7,2.4,No Disease,0,1.5,1.45,186.54,100.0,95.5,92.1,High
F0129,Livestock,Buffalo,Tamil Nadu,4,3.2,,,,,65.4,4.7,89.7,32.0,72.3,4.0,No Disease,0,5.0,1.63,6.28,100.0,,48.5,Medium
F0130,Livestock,Goat,Telangana,5,6.4,,,,,9.3,27.8,66.8,112.0,97.6,2.8,No Disease,0,0.7,2.19,46.41,100.0,,77.6,High
F0131,Livestock,Sheep,Telangana,4,12.9,,,,,48.6,27.3,79.9,93.0,85.2,2.6,No Disease,0,1.3,2.23,42.21,100.0,,64.4,Medium
F0132,Aquaculture,Catla,Telangana,1,12.1,26.4,7.4,5.95,0.1,44.6,166.3,70.7,53.1,92.8,3.2,No Disease,1,7.1,2.02,276.03,100.0,88.8,98.7,High
F0133,Aquaculture,Pangasius,Telangana,2,22.5,26.6,6.97,5.89,0.06,47.6,243.8,64.7,54.8,68.1,2.6,Parasitic Infection,1,15.5,1.95,409.28,88.5,84.4,87.2,High
F0134,Aquaculture,Pangasius,Andhra Pradesh,1,23.9,30.2,8.09,4.74,0.13,166.3,205.5,97.3,135.8,71.9,3.5,No Disease,0,4.7,1.52,233.01,100.0,87.7,65.8,High
F0135,Aquaculture,Tilapia,West Bengal,6,9.3,22.4,7.65,5.34,0.33,58.2,148.8,88.6,127.5,62.4,4.4,No Disease,0,1.6,1.49,163.69,100.0,75.8,46.0,Medium
F0136,Aquaculture,Tilapia,Telangana,1,1.6,26.7,8.07,3.9,0.13,177.0,217.0,85.2,130.9,79.2,4.4,No Disease,0,2.7,1.35,344.5,100.0,90.6,86.4,High
F0137,Aquaculture,Catla,Tamil Nadu,3,10.5,28.6,7.64,6.28,0.31,53.7,148.6,76.5,127.1,78.0,3.4,No Disease,0,0.4,1.44,262.9,100.0,95.7,63.3,Medium
F0138,Aquaculture,Rohu,Andhra Pradesh,1,1.5,28.5,7.91,6.25,0.57,84.3,207.8,76.6,12.8,68.5,4.3,No Disease,0,0.0,1.57,234.87,100.0,92.4,64.5,Medium
F0139,Aquaculture,Pangasius,West Bengal,4,17.1,25.4,7.12,3.68,0.46,142.6,113.0,57.9,141.1,67.3,3.1,No Disease,0,1.8,1.35,198.38,100.0,76.7,97.8,High
F0140,Aquaculture,Rohu,Telangana,1,18.8,29.2,8.47,5.17,0.22,176.8,43.7,78.6,176.2,78.9,2.5,No Disease,0,0.8,1.46,64.87,100.0,87.2,92.7,High
F0141,Livestock,Buffalo,West Bengal,2,17.9,,,,,26.6,40.1,96.6,108.7,49.1,2.0,No Disease,0,3.2,2.34,58.3,100.0,,30.1,Low
F0142,Aquaculture,Rohu,Telangana,6,17.3,31.0,8.31,3.63,0.42,78.0,157.5,92.2,170.4,59.6,2.4,No Disease,0,1.7,1.5,231.54,100.0,77.7,47.3,Medium
F0143,Livestock,Sheep,Telangana,2,18.8,,,,,52.1,24.4,95.3,97.6,94.8,2.4,No Disease,0,0.7,2.17,35.76,100.0,,57.6,Medium
